"lookup_firm","mean_i2017y"
"Fujitsu Limited",10.1135775284911
"Fujitsu Semiconductor Limited",1.37364620938628
"FULL CIRCLE BIOCHAR",6.25
"Furukawa Electric Co",7.3021686746988
"FutureWei Technologies",1.45649263721553
"fybr",0.4
"Galectin Therapeutics",1.5
"Galemed",6.57142857142857
"GangaGen",2.33333333333333
"Gardner-Gibson",0
"Garland Industries",1.84615384615385
"Garrity Power Services",0.5
"Gas Technology Institute",5.89304812834225
"GCP Applied Technologies",0
"GDO",6.39024390243902
"GE Healthcare Dharmacon",0.111111111111111
"GE Healthcare Limited",1.63101604278075
"GE-Hitachi Nuclear Energy Americas",0.625
"GED Intergrated Solution",3.51063829787234
"Gemex Systems",2.5
"GEN-PROBE",16.0668058455115
"GENCO SCIENCES",0
"Genentech",14.7399267399267
"GENERAL ELECTRIC COMPANY",12.3802326713396
"GENERAL MOTORS",14.8136297903109
"Genesco",14.8604651162791
"Genia Technologies",2.5
"Genisphere",0.230769230769231
"Genomatica",4.1219512195122
"Genomic Health",4.76190476190476
"Genzyme",33.4375
"George Mason Research Foundation",1.91304347826087
"Georgia-Pacific Gypsum",1.9375
"GeoSynFuels",8
"GEOTHERMAL ENERGY PROJECT",0
"Gestion Ultra",2.75
"GIGA SOLAR FPC",0
"Gilead Biologics",1.76923076923077
"Gilead Connecticut",6
"Gilead Sciences",16.9466403162055
"GlassPoint Solar",4.77777777777778
"GlaxoSmithKline Biologicals SA",1.32110091743119
"GLIKNIK",1
"Global Eagle Entertainment",0
"Global Filtration Systems",1.13333333333333
"Global OLED Technology",3.98854961832061
"Global Solar Water Power Systems",0.5
"GLOBALFOUNDRIES",1.10021727322108
"Globus Medical",9.09677419354839
"Glucan Biorenewables",0
"GLYCON",11.5454545454545
"GM Global Technology Operations",2.42963102056145
"GOAL ZERO",1.63636363636364
"GOJO Industries",7.62100456621005
"GOLBA",6.59375
"Google",4.46088657105606
"GOOGLE TECHNOLOGY HOLDINGS",0.624190064794816
"GOSOLARLIFE",0
"GR Intellectual Reserve",5.73684210526316
"Gracenote",10.0540540540541
"Grain Processing",8.97709923664122
"Gram Power",1
"Grandis",50.5677966101695
"Graphene Technologies",0
"Great American Duck Races",3
"Greatbatch",6.77777777777778
"Green Box Batteries",0
"Green Extraction Technologies",0.5
"Green Solar Transportation",0
"GREENFIELD MASTER IPCO LIMITED",0.5
"GREENHILL ANTIBALLISTICS",1.5
"Greyrock Energy",0.833333333333333
"GROW ENERGY",0
"Gtech",13.6932826362484
"GTherm",1.25
"Guardian Industries",13.0912863070539
"Gula Consulting Limited Liability Company",0.0833333333333333
"H R D",1.925
"Hadasit Medical Research Services & Development Company",4
"Haier US Appliance Solutions",0.0514285714285714
"Halliburton Energy Services",15.7102272727273
"HAMAMATSU PHOTONICS KK",6.75755667506297
"Hamilton Sundstrand",3.34018264840183
"Handstand Innovations",0.5
"Handylab",32.2741935483871
"HARMAN INDUSTRIES",6.71804511278195
"Harris",16.5484662576687
"Headway Technologies",6.1134328358209
"Heat Seal",0
"Heidelberger Druckmaschinen AG",5.40702087286528
"Heliae Development",11.5428571428571
"Helios Focus",3.5
"Henkel AG & Co KGaA",0.76038338658147
"Heraeus Precious Metals North America Conshohocken",0.7
"Hewlett Packard Enterprise Development LP",0.11682892906815
"Hewlett-Packard Development Company LP",7.75943141016182
"Hewlett-Packard Indigo BV",0.830882352941177
"HGST NETHERLANDS BV",1.83196721311475
"HIQ SOLAR",0
"Hitachi",14.164160235982
"Hitachi High-Technologies",2.18059901654001
"Hitachi Metals",5.69216417910448
"HM&#xb3; ENERGY",0
"HNO Greenfuels",1.75
"Hollingsworth & Vose Company",10.6575342465753
"Hollywood Trucks",0
"Hon Hai Precision Industry Co",3.67044750216933
"Honda Motor Co",2.79862484694358
"Honeywell",10.7695859289117
"Hosiden",8.32114882506527
"HOWARD INDUSTRIES",7.04761904761905
"Hoya",5.99715234931182
"HRL Laboratories",8.79931389365352
"HTC",4.54686446392448
"HTS",2.16666666666667
"Humanetics",8.54285714285714
"Hunt Energy Enterprises",1.28
"Hunter Douglas",12.8457711442786
"Hynix Semiconductor",3.48466848611334
"Hysitron",12.9444444444444
"Hyundai Motor Company",2.00283537125642
"IBC Pharmaceuticals",22.0103092783505
"iBio",3.75
"Ibis Biosciences",5.95180722891566
"IDEA TREE",0
"Ideal Power",0.275
"IDEALAB",19.375
"IDEX Health &#x26; Science",0.888888888888889
"Ignis Innovation",10.1764705882353
"II-VI",1.72222222222222
"III HOLDINGS 1",0.452127659574468
"Illinois Tool Works",8.22326700196807
"IMDS",10.3906976744186
"IMEC",3.30988593155894
"Immunolight",2.09090909090909
"Immunopath Profile",9.94117647058824
"Imperial Innovations Limited",2.31067961165049
"IMRA America",25.8206106870229
"Inaeris Technologies",3.5
"iNanoBio",1
"Incept",63.2
"Incyte Holdings",2.34
"Industrial Origami",12.3333333333333
"Industrial Science & Technology Network",2
"Industrial Solar Heating Systems",0
"Industrial Technology Research Institute",6.59237450316502
"INENTEC",3.38461538461538
"Infineon Technologies AG",4.33266793959382
"Infineon Technologies Americas Corp",0.214765100671141
"Infinera",3.85645933014354
"INFINEUM LIMITED",2.92567567567568
"Innolux",0.432835820895522
"Innovalight",7.68571428571429
"Innovation Hammer",1.66666666666667
"Inphenix",0.5
"Instron",9.53030303030303
"Integrated Device Technology",11.1906158357771
"Integrated DNA Technologies",3.72340425531915
"Integrated Nano-Technologies",5
"Integrated Solar Technology",7.5
"Intel",13.5690674025857
"INTEL IP",0.443438914027149
"Intellectual Keystone Technology",0.833333333333333
"Intercontinental Great Brands",0.517241379310345
"Interez",5.19444444444444
"Interface Performance Materials",0
"Intermolecular",1.74408901251739
"International Business Machines",14.6275857100403
"International Technology",9.22
"INTEVAC",10.2649572649573
"Intrexon CEU",0
"IntriEnergy",0
"Intuitive Surgical Operations",11.0567260940032
"Invensas",4.02555910543131
"Inventus Holdings",0.363636363636364
"InView Technology",2
"InVisage Technologies",14.0597014925373
"INVISTA North America Sarl",2.77049180327869
"Iogen",9.03846153846154
"Ion Power Group",1
"Isis Pharmaceuticals",22.4126126126126
"ITN Energy Systems",4.6
"Ivoclar Vivadent AG",4.36032388663968
"J E WHITE",0
"JAC Products",8.64210526315789
"Janssen Biotech",0.917355371900826
"JFE STEEL",1.04761904761905
"JNC",2.77505112474438
"Johns Manville",6.01691729323308
"Johnson & Johnson Consumer Companies",9.11032028469751
"Johnson &#x26; Johnson Vision Care",14.6405594405594
"Johnson Controls Technology Company",10.8111111111111
"Johnson Matthey PLC",8.61382113821138
"JOLED",1.18604651162791
"Joule Unlimited Technologies",2.76923076923077
"JSI Equipment Solutions",0.5
"JSR",6.60278053624628
"JX Nippon Mining & Metals",1.26377952755906
"k-Space Associates",1.33333333333333
"Kabushiki Kaisha Eighting",14.6923076923077
"Kabushikikaisha Toshiba",10.3451148081334
"KAI Pharmaceuticals",1.81818181818182
"Kajima",11.1619718309859
"Kala Pharmaceuticals",1.26315789473684
"Kamtec",11.4130434782609
"Kaneka",4.68826619964974
"Kansai Paint Co",6.66323024054983
"Kansei",14.4418604651163
"Kao",7.54779050736498
"Karsten Manufacturing",10.9345238095238
"Kashiv Pharma",0
"Kawasaki Jukogyo Kabushiki Kaisha",5.11579572446556
"Kemira OY",2.94594594594595
"Kerr",14.0919540229885
"Kia Motors",1.31460674157303
"Kimberly-Clark Worldwide",16.9989972424166
"Kinestral Technologies",1.65
"Kinetech Power Company",0
"King Electric Vehicles",0
"KINO",3.4
"Kiverdi",0
"KJ BIOSCIENCES",0
"KLA-Tencor",9.13588110403397
"Kobe Steel Limited",3.14646464646465
"Koch Biological Solutions",0
"Kodak Alaris",0.608695652173913
"KOLO TECHNOLOGIES",16.5142857142857
"KOLON INDUSTRIES",2.33816425120773
"Korea Kumho Petrochemical Co",3
"KR Design House",0
"Kraton Polymers US",5.04635761589404
"Kronos",7.83673469387755
"KS CO",12.7777777777778
"kSep Systems",0
"KT",6.54041095890411
"KUBIX",1.33333333333333
"Kulite Semiconductor Products",10.8662613981763
"Kureha",5.43303571428571
"KYOCERA DOCUMENT SOLUTIONS",0.224628450106157
"L-3 Communications Cincinnati Electronics",1.29411764705882
"Lake Lite",1.66666666666667
"Lam Research",10.4496703296703
"Landauer",5.46808510638298
"Laserline Mfg",6.1
"LATITUDE PHARMACEUTICALS",0
"Lattice Semiconductor",9.47553516819572
"LAVA ENERGY SYSTEMS",0
"Lawrence Livermore National Security",1.9603825136612
"Lehigh Technologies",2.35714285714286
"Lextar Electronics Corp",0.764044943820225
"LG Bionano",0
"LG Display Co",1.24856096284668
"LG Electronics",3.67699242351587
"LG NANOH2O",0
"LGS Innovations",0.730769230769231
"Life Technologies",8.6679012345679
"LifeNet Health",6.95652173913043
"Linne Industries",0
"Lintec",7.16481481481481
"Lion Copolymer Geismar",0.590909090909091
"LIQUID X PRINTED METALS",0
"Liquidia Technologies",2.71428571428571
"Litron Laboratories Limited",4.35
"Little Kids",8.375
"Livetv",6.39393939393939
"Lockheed Martin",7.95835261453031
"Locus Energy",0.111111111111111
"Lof Solar",0
"Longhorn Vaccines and Diagnostics",2.94117647058824
"LORDO AMERICA",0
"Los Alamos National Security",2.73006134969325
"Lovelace Respiratory Research Institute",6.4
"LUCERA LABS",0
"Lumenco",0.25
"Lumentum Operations",0.310344827586207
"Luna Innovations",17.5625
"Lux Bio Group",1.33333333333333
"Lyotropic Therapeutics",9.65
"Ma-West",1.6875
"Macronix Co",7.71568272365085
"Magna",5.97777777777778
"Magnachip Semiconductor",1.53674121405751
"Magnolia Optical Technologies",4.14285714285714
