year(min(p.`date`)),lookup_firm
1978,"Hollingsworth & Vose Company"
2016,"Hollywood Trucks"
1995,"Hon Hai Precision Industry Co"
1977,"Honda Motor Co"
1976,Honeywell
1991,Hosiden
1986,"HOWARD INDUSTRIES"
1977,Hoya
2000,"HRL Laboratories"
1976,HTC
1991,HTS
1993,Humanetics
2012,"Hunt Energy Enterprises"
1981,"Hunter Douglas"
2001,"Hynix Semiconductor"
1976,Hysitron
1988,"Hyundai Motor Company"
1976,"IBC Pharmaceuticals"
2001,iBio
2010,"Ibis Biosciences"
2017,"IDEA TREE"
2013,"Ideal Power"
2003,IDEALAB
2009,"IDEX Health &#x26; Science"
2007,"Ignis Innovation"
1979,II-VI
2014,"III HOLDINGS 1"
1976,"Illinois Tool Works"
1989,IMDS
1996,IMEC
2013,Immunolight
1990,"Immunopath Profile"
2006,"Imperial Innovations Limited"
1992,"IMRA America"
2006,"Inaeris Technologies"
2016,iNanoBio
2000,Incept
2015,"Incyte Holdings"
1976,"Industrial Origami"
1999,"Industrial Science & Technology Network"
2016,"Industrial Solar Heating Systems"
1982,"Industrial Technology Research Institute"
1991,INENTEC
2000,"Infineon Technologies AG"
2015,"Infineon Technologies Americas Corp"
1977,Infinera
2002,"INFINEUM LIMITED"
1978,Innolux
2007,Innovalight
2015,"Innovation Hammer"
2015,Inphenix
1979,Instron
1987,"Integrated Device Technology"
2001,"Integrated DNA Technologies"
1998,"Integrated Nano-Technologies"
1989,"Integrated Solar Technology"
1976,Intel
2001,"INTEL IP"
2014,"Intellectual Keystone Technology"
2013,"Intercontinental Great Brands"
1976,Interez
2016,"Interface Performance Materials"
2007,Intermolecular
1976,"International Business Machines"
1986,"International Technology"
1976,INTEVAC
2016,"Intrexon CEU"
2016,IntriEnergy
2010,"Intuitive Surgical Operations"
1989,Invensas
2014,"Inventus Holdings"
2013,"InView Technology"
1990,"InVisage Technologies"
2004,"INVISTA North America Sarl"
1997,Iogen
2014,"Ion Power Group"
1992,"Isis Pharmaceuticals"
2004,"ITN Energy Systems"
2001,"Ivoclar Vivadent AG"
2013,"J E WHITE"
1978,"JAC Products"
2011,"Janssen Biotech"
2004,"JFE STEEL"
1978,JNC
1980,"Johns Manville"
1998,"Johnson & Johnson Consumer Companies"
1991,"Johnson &#x26; Johnson Vision Care"
1998,"Johnson Controls Technology Company"
1981,"Johnson Matthey PLC"
1986,JOLED
2011,"Joule Unlimited Technologies"
2015,"JSI Equipment Solutions"
1976,JSR
2010,"JX Nippon Mining & Metals"
2008,"k-Space Associates"
2005,"KS CO"
1984,"Kabushiki Kaisha Eighting"
1976,"Kabushikikaisha Toshiba"
2007,"KAI Pharmaceuticals"
1976,Kajima
2003,"Kala Pharmaceuticals"
1976,Kamtec
1978,Kaneka
1976,"Kansai Paint Co"
1977,Kansei
1976,Kao
1984,"Karsten Manufacturing"
2016,"Kashiv Pharma"
1976,"Kawasaki Jukogyo Kabushiki Kaisha"
1977,"Kemira OY"
1987,Kerr
1992,"Kia Motors"
1997,"Kimberly-Clark Worldwide"
2014,"Kinestral Technologies"
2016,"Kinetech Power Company"
2017,"King Electric Vehicles"
2001,KINO
2015,Kiverdi
2016,"KJ BIOSCIENCES"
1998,KLA-Tencor
1976,"Kobe Steel Limited"
2016,"Koch Biological Solutions"
2013,"Kodak Alaris"
1983,"KOLO TECHNOLOGIES"
1979,"KOLON INDUSTRIES"
1997,"Korea Kumho Petrochemical Co"
2016,"KR Design House"
2001,"Kraton Polymers US"
1980,Kronos
2016,"kSep Systems"
1976,KT
1987,KUBIX
1976,"Kulite Semiconductor Products"
1981,Kureha
2012,"KYOCERA DOCUMENT SOLUTIONS"
2006,"L-3 Communications Cincinnati Electronics"
2014,"Lake Lite"
1978,"Lam Research"
1995,Landauer
1992,"Laserline Mfg"
2016,"LATITUDE PHARMACEUTICALS"
1988,"Lattice Semiconductor"
2015,"LAVA ENERGY SYSTEMS"
2007,"Lawrence Livermore National Security"
2006,"Lehigh Technologies"
2010,"Lextar Electronics Corp"
2016,"LG Bionano"
2008,"LG Display Co"
1983,"LG Electronics"
2016,"LG NANOH2O"
2012,"LGS Innovations"
1984,"Life Technologies"
2008,"LifeNet Health"
2016,"Linne Industries"
1976,Lintec
2014,"Lion Copolymer Geismar"
2016,"LIQUID X PRINTED METALS"
2011,"Liquidia Technologies"
1993,"Litron Laboratories Limited"
1989,"Little Kids"
2007,Livetv
1996,"Lockheed Martin"
2012,"Locus Energy"
2012,"Lof Solar"
2011,"Longhorn Vaccines and Diagnostics"
2016,"LORDO AMERICA"
2006,"Los Alamos National Security"
1999,"Lovelace Respiratory Research Institute"
2016,"LUCERA LABS"
2015,Lumenco
2015,"Lumentum Operations"
2000,"Luna Innovations"
2015,"Lux Bio Group"
2003,"Lyotropic Therapeutics"
1981,Ma-West
1992,"Macronix Co"
1978,Magna
2005,"Magnachip Semiconductor"
2013,"Magnolia Optical Technologies"
2014,"Magnolia Solar"
1976,MAHLE
1989,"Mainstream Engineering Corp"
1976,Mallinckrodt
2017,"Manta Instruments"
2009,"MANUFACTURING RESOURCES"
1980,"Marathon Equipment Company"
2002,"Marine Biotech"
1997,"Marine Polymer Technologies"
1976,Markel
2013,"Masimo Semiconductor"
1977,Materia
2015,"MATERIALS ANALYSIS TECHNOLOGY (US) CORP"
2013,"Matrix Genetics"
2016,"Matrix Odyssey"
1996,"Mattson Technology"
1987,"Maxim Integrated Products"
2008,MAXLINEAR
2014,"Maxout Renewables"
2001,"MBC Ventures"
2011,"McAlister Technologies"
1984,"McElroy Manufacturing"
1976,MCI
2013,"Medgenics Medical Israel"
1999,Mediatek
2010,"Medical Diagnostic Laboratories"
1994,"Medicis Pharmaceutical"
1978,MEDport
2004,"Medtronic Vascular"
1982,"Merck Patent"
1979,"MERCK SHARP & DOHME CORP"
1998,"Meso Scale Technologies"
2009,"Met Tech"
1997,Metabolix
1998,"Meyer Tool"
1982,"Michelin Recherche et Technique SA"
1986,"Michigan Biotechnology Institute"
2016,"Micro Cooling Concepts"
1989,"Microchip Technology"
2016,"Microchips Biotech"
2008,MicroContinuum
2003,"MicroLink Devices"
1984,"Micron Technology"
1978,"Microsemi SoC"
2014,"MICROSOFT TECHNOLOGY LICENSING"
1988,Microsurge
2015,"Midori USA"
1993,"Midrex Technologies"
2016,"MIETAMARK GENETICS"
2016,"MILLENIUM SYNTHFUELS"
1999,"Milliken & Company"
1989,"Minebea Co"
1976,Mintera
1995,MirTech
2014,"Mission Product Holdings"
1976,"Mitsubishi Electric"
1976,"Mitsubishi Metal"
1999,"Mitsubishi Polyester Film"
2004,"Molecular Imprints"
2013,"Molecular Rebar Design"
2007,"Momentive Performance Materials"
2014,"Monarch Power Corp"
2013,"Monolithe Semiconductor"
1980,MonoSol
2001,"Monsanto Technology"
2015,"MONTEREY RESEARCH"
2003,Morpho
1978,Moxtek
2016,Mumetel
