"lookup_firm","mean_cd2017y"
"GangaGen",0.00198465888888889
"Gardner-Gibson",0
"Garland Industries",0.0333369042307692
"Garrity Power Services",0.5
"Gas Technology Institute",-0.00864770486631016
"GCP Applied Technologies",0
"GDO",0.102378464634146
"GE Healthcare Dharmacon",0.111111111111111
"GE Healthcare Limited",0.0724696117647059
"GE-Hitachi Nuclear Energy Americas",0.00143148118055556
"GED Intergrated Solution",-0.019323665106383
"Gemex Systems",0.0748634
"GEN-PROBE",0.0158254913465553
"GENCO SCIENCES",0
"Genentech",0.105209642538869
"GENERAL ELECTRIC COMPANY",0.14276321623216
"GENERAL MOTORS",0.223374120854483
"Genesco",0.0981896513953488
"Genia Technologies",-0.0297976036666667
"Genisphere",0.000325945384615385
"Genomatica",-0.00606594085365854
"Genomic Health",0.0914335116666667
"Genzyme",0.0452043568970588
"George Mason Research Foundation",0.013234367826087
"Georgia-Pacific Gypsum",0.0561303875
"GeoSynFuels",0.02767525
"GEOTHERMAL ENERGY PROJECT",0
"Gestion Ultra",-0.01688905
"GIGA SOLAR FPC",0
"Gilead Biologics",-0.000635911846153846
"Gilead Connecticut",0.0687074954545455
"Gilead Sciences",0.0653325216047431
"GlassPoint Solar",-0.0233507311111111
"GlaxoSmithKline Biologicals SA",0.0651794220183486
"GLIKNIK",-0.0131579
"Global Eagle Entertainment",0
"Global Filtration Systems",0.00574050066666667
"Global OLED Technology",0.0155457804427481
"Global Solar Water Power Systems",0.0625
"GLOBALFOUNDRIES",0.0843770599239544
"Globus Medical",0.0225647229657258
"Glucan Biorenewables",0
"GLYCON",-0.0292631818181818
"GM Global Technology Operations",0.0561407924559196
"GOAL ZERO",0.0245549
"GOJO Industries",0.0267072881278539
"GOLBA",-0.014583838328125
"Google",0.0640984701943358
"GOOGLE TECHNOLOGY HOLDINGS",0.0349158045453564
"GOSOLARLIFE",0
"GR Intellectual Reserve",0.0690928315789474
"Gracenote",0.126511313608108
"Grain Processing",0.116769767633588
"Gram Power",0.0172414
"Grandis",0.0760556042457627
"Graphene Technologies",0
"Great American Duck Races",0.0232558
"Greatbatch",0.0169290282222222
"Green Box Batteries",0
"Green Extraction Technologies",-0.01666665
"Green Solar Transportation",0
"GREENFIELD MASTER IPCO LIMITED",-0.0081967
"GREENHILL ANTIBALLISTICS",-0.0245682
"Greyrock Energy",0.16
"GROW ENERGY",0
"Gtech",0.350732087693283
"GTherm",-0.0245098
"Guardian Industries",-0.00731223728907331
"Gula Consulting Limited Liability Company",-0.00124116708333333
"H R D",0.00518843891666667
"Hadasit Medical Research Services & Development Company",0.0996306639923077
"Haier US Appliance Solutions",0.00589285542857143
"Halliburton Energy Services",0.00191264256287879
"HAMAMATSU PHOTONICS KK",0.0813711946221662
"Hamilton Sundstrand",0.0205298177437215
"Handstand Innovations",0.0833335
"Handylab",-0.00291909822580645
"HARMAN INDUSTRIES",0.0381696107330827
"Harris",0.130700488244172
"Headway Technologies",0.0448647761492537
"Heat Seal",0
"Heidelberger Druckmaschinen AG",0.0841923660151803
"Heliae Development",-0.00745061785714286
"Helios Focus",-0.0079365
"Henkel AG & Co KGaA",0.0351043541373802
"Heraeus Precious Metals North America Conshohocken",0.0331978
"Hewlett Packard Enterprise Development LP",0.00813275382475661
"Hewlett-Packard Development Company LP",0.0453893692517338
"Hewlett-Packard Indigo BV",-0.00334849852941176
"HGST NETHERLANDS BV",0.0213426073053279
"HIQ SOLAR",0
"Hitachi",0.131724261380126
"Hitachi High-Technologies",0.06223364898346
"Hitachi Metals",0.133313700771144
"HM&#xb3; ENERGY",0
"HNO Greenfuels",-0.0263647166666667
"Hollingsworth & Vose Company",0.0134868930136986
"Hollywood Trucks",0
"Hon Hai Precision Industry Co",0.0613407961679063
"Honda Motor Co",0.0694212539216351
"Honeywell",0.0813796361599853
"Hosiden",0.0936555484804178
"HOWARD INDUSTRIES",0.0372611465079365
"Hoya",0.103183399989559
"HRL Laboratories",0.058652987780446
"HTC",0.113320150838166
"HTS",0.0207796166666667
"Humanetics",0.002415544
"Hunt Energy Enterprises",0.049517256
"Hunter Douglas",0.0244153161616915
"Hynix Semiconductor",0.105862836262803
"Hysitron",0.0438398677777778
"Hyundai Motor Company",0.0575703629257487
"IBC Pharmaceuticals",0.256127369412371
"iBio",0.0054084545625
"Ibis Biosciences",-0.00120799878313253
"IDEA TREE",0
"Ideal Power",0.01410276175
"IDEALAB",0.00455376875
"IDEX Health &#x26; Science",-0.00116541777777778
"Ignis Innovation",-0.0112043615798319
"II-VI",0.0108434418518519
"III HOLDINGS 1",0.0185930897287234
"Illinois Tool Works",0.0680141402632845
"IMDS",0.0648749583860465
"IMEC",0.12388633081749
"Immunolight",0.0700733921212121
"Immunopath Profile",0.03909047
"Imperial Innovations Limited",0.0785731984466019
"IMRA America",0.0360065225343511
"Inaeris Technologies",-0.00326854583333333
"iNanoBio",0.333333
"Incept",-0.00820633705714286
"Incyte Holdings",-0.098047794
"Industrial Origami",0.166260286666667
"Industrial Science & Technology Network",0.0134921316666667
"Industrial Solar Heating Systems",0
"Industrial Technology Research Institute",0.071642365384219
"INENTEC",0.0658296384615385
"Infineon Technologies AG",0.0508569956541399
"Infineon Technologies Americas Corp",0.0107476140939597
"Infinera",0.085759049992823
"INFINEUM LIMITED",0.0738691858783784
"Innolux",0.0620785966915423
"Innovalight",0.094572592
"Innovation Hammer",-0.0471673666666667
"Inphenix",-0.0263158
"Instron",0.00859223908712121
"Integrated Device Technology",0.0679036872678397
"Integrated DNA Technologies",0.0069279554893617
"Integrated Nano-Technologies",0.00583959090909091
"Integrated Solar Technology",0.2272725
"Intel",0.0756970412124066
"INTEL IP",0.0298135099095023
"Intellectual Keystone Technology",-0.0295952833333333
"Intercontinental Great Brands",-0.00496848379310345
"Interez",0.1004570519375
"Interface Performance Materials",0
"Intermolecular",0.0984258249248957
"International Business Machines",0.0661162056198851
"International Technology",0.0908084506
"INTEVAC",0.09018821
"Intrexon CEU",0
"IntriEnergy",0
"Intuitive Surgical Operations",-0.00387284896920583
"Invensas",0.00851695105111821
"Inventus Holdings",0.00332168181818182
"InView Technology",0.09705094
"InVisage Technologies",-0.00140712537313433
"INVISTA North America Sarl",0.000411174032786885
"Iogen",0.0161114923076923
"Ion Power Group",-0.006398745
"Isis Pharmaceuticals",0.0919592188648649
"ITN Energy Systems",-0.007160271
