,0,1,2,3,4,5,6,7,8,9,10,11
20,Boehringer Ingelheim,Boehringer,Boehringer Ingelheim Pharma KG & Co: 2531,Boehringer Mannehim: 1152,Boehringer Ingelheim (Canada): 63,Boehringer Ingelheim Microparts: 46,Boehringer Laboratories: 30,Boehringer Mannheim Italia SpA: 24,Boehringer Technologies LP: 21,Boehringer Biochemia Robin SpA: 21,Boehringer Werkzeugmaschinen: 16,BOEHRINGER INGELHEIM RCV & CO KG: 12
21,Boehringer Ingelheim Vetmedica,Boehringer,Boehringer Ingelheim Pharma KG & Co: 2531,Boehringer Mannehim: 1152,Boehringer Ingelheim (Canada): 63,Boehringer Ingelheim Microparts: 46,Boehringer Laboratories: 30,Boehringer Mannheim Italia SpA: 24,Boehringer Technologies LP: 21,Boehringer Biochemia Robin SpA: 21,Boehringer Werkzeugmaschinen: 16,BOEHRINGER INGELHEIM RCV & CO KG: 12
22,Buckman Laboratories,Buckman,Buckman Laboratories Int'l: 191,Buckman Jet Drilling: 6,Buckman Laboratories of Canada: 1,Buckman Imports: 1,Buckman Laboratores: 1,,,,,
23,Cadence Design Systems,Cadence,Cadence Design Sysyems: 1803,Cadence Environmental Energy: 18,Cadence Chemical Resources: 10,Cadence Innovation: 8,Cadence AMS Design India Private Limited: 6,Cadence Design (Israel) II: 5,Cadence Biomedical: 2,Cadence Enviromental Energy: 2,Cadence Design Systems of San Jose: 1,Cadence Technologies: 1
24,CAMBRIDGE ENTERPRISE LIMITED,CAMBRIDGE,Cambridge Display Technology Limited: 291,Cambridge Silicon Radio Limited: 225,Cambridge Enterprise: 188,Cambridge University Technical Services: 77,Cambridge Research and Instrumentation: 61,Cambridge Semiconductor Limited: 49,Cambridge Consultants Limited: 46,Cambridge: 45,Cambridge NeuroScience: 44,Cambridge Polymer Group: 36
25,Canon,Canon,Canon Kabushiki Kaiaha: 69889,Canon Denshi Kabushiki Kaisha: 280,Canon Anelva: 279,Canon Finetech: 202,Canon US Life Sciences: 101,Canon Information Systems: 77,CANON FINETECH NISCA: 67,CANON COMPONENTS: 58,Canon Information Systems & Research Australia: 57,Canon USA: 55
26,Cardiac Pacemakers,Cardiac,Cardiac Pacemarkers: 3492,CardiacScience: 64,Cardiac Pathways: 61,Cardiac Intelligence: 47,Cardiac Dimensions: 46,Cardiac Mariners: 21,Cardiac Assist: 18,Cardiac Dimensions Pty: 12,Cardiac Control Systems: 8,Cardiac Assist Technologies: 8
27,Carl Zeiss Meditec AG,Carl,Carl Zeiss SMT GbmH: 1605,Carl-Zeiss Stiftung: 661,Carl Zeiss Meditec: 519,Carl Zeiss Microscopy: 342,Carl Freudenberg AG: 319,Carl Zeiss Jana: 244,Carl Zeiss Micro Imaging: 154,Carl Zeiss Vision: 111,Carl Zeiss Industrielle Messtechnik: 91,Carl Hurth Maschinen und Zahnradfabrik: 85
28,Casio Computer Co,Casio,CASIO COMPUTERS CO: 4181,Casio Keisanki Kabushiki Kaisha: 364,Casio Hitachi Mobile Communications Co: 94,Casio Electronics Manufacturing: 88,Casio PhoneMate: 18,Casio Denshikougyou Kabushiki Kaisha: 5,Casio Micronics Co: 4,Casio Communications: 3,Casio Hitachi Mobile Communication Co: 2,Casion Technology Co: 1
29,Ceramatec,Ceramatec,Ceramatech: 1,,,,,,,,,
30,Certain-teed,Certainteed,CertainTeed Corportation: 743,CertainTeed Gypsum: 25,CertainTeed Canada: 6,CERTAINTEED GYPSUM AND CEILING MANUFACTURING: 5,Certainteed Ceiling: 4,Certainteed Ceilings: 2,Certainteed Insulation Canada: 1,CertainTeed Shade Systems LLC: 1,,
31,Chevron Oronitz Company,Chevron,Chevron Research Company: 2141,Chevron USA: 1813,Chevron Chemical: 223,Chevron: 24,Chevron Philips Chemical Company LP: 22,Chevron (HK) Limited: 20,Chevron Oronite Technology BV: 16,Chevron Research and Technology Company a Division of Chevron USA: 13,Chevron Japan: 10,Chevron Chemical SA: 5
32,Chipmos Technologies,Chipmos,Chipmos Technology: 186,ChipMos Technologies (Bermeda): 90,ChipMOS Technologies (Shanghai): 2,,,,,,,
33,Cleanvantage,Cleanvantage,,,,,,,,,,
34,CNH Industrial America,CNH,CNH Industrial Americal: 1020,CNH America: 970,CNH Industrial Canada: 215,CNH Canada: 178,CNH Baumaschinen: 9,CNH France SA: 5,CNH FOODSERVICE: 3,CNH Industrial Belgium nv: 2,CNH UK: 2,CNH Industrial France SAS: 1
35,Commonwealth Scientific & Industrial Research Organization,Commonwealth,Commonwealth Scientific and Industries Research Organization: 911,Commonwealth Edison Co: 33,Commonwealth of Puerto Rico: 29,Commonwealth of Australia: 27,Commonwealth Scientific and Industrial Research: 11,Commonwealth Industries: 8,Commonwealth Scientific: 8,Commonwealth Scientific and Industrial Research Organization (CSIRO): 6,Commonwealth Aluminum: 4,Commonwealth Serum Laboratories Commission: 4
36,Conexant Systems,Conexant,Conexant Sytems: 764,Conexant: 47,Conexant Systems Worldwide: 1,Conexant Systems UK Limited: 1,,,,,,
