firm_name,url,gid
Sony Interactive Entertainment America LLC,https://www.sie.com/en/corporate/info/180913.html,956
Sony Interactive Entertainment America LLC,https://www.sie.com/en/corporate/release/2018/180809.html,956
NanoMech,http://www.nanomech.com/company-profile/leadership/,679
NanoMech,http://www.nanomech.com/company-profile/history/,679
NanoMech,http://www.nanomech.com/company-profile/safety/,679
NanoMech,http://www.nanomech.com/2018/07/31/nanomech-featured-on-times-square-with-release-of-one-of-the-most-important-nano-patents-in-history/,679
NanoMech,http://www.nanomech.com/company-profile/,679
Sanken Electric Co.,https://www.sanken-ele.co.jp/en/tousika/contact/index.htm,889
Thorn Bioscience LLC,http://thornbioscience.com/about-us/,1043
Humanetics Corporation,http://www.humaneticsatd.com/about-us/News,477
Humanetics Corporation,http://www.humaneticsatd.com/about-us/careers,477
Thorn Bioscience LLC,http://thornbioscience.com/about-us/scientific-advisory-board/,1043
Humanetics Corporation,http://www.humaneticsatd.com/services/consulting-training/management-services,477
Humanetics Corporation,http://www.humaneticsatd.com/about-us/press-releases/detroit-lions-salute-service-week-be-presented-humanetics,477
Fianium Ltd.,https://www.nktphotonics.com/about/careers/,373
Fianium Ltd.,https://www.nktphotonics.com/about/,373
Fianium Ltd.,https://www.nktphotonics.com/about/corporate-social-responsibility-csr/,373
Fianium Ltd.,https://www.nktphotonics.com/about/management-team/,373
Sanken Electric Co.,https://www.sanken-ele.co.jp/en/corp/index.htm,889
Sanken Electric Co.,https://www.sanken-ele.co.jp/en/corp/corp08.htm,889
Thorn Bioscience LLC,http://thornbioscience.com/about-us/laura-thorn/,1043
Humanetics Corporation,http://www.humaneticsatd.com/about-us/message-president,477
Humanetics Corporation,http://www.humaneticsatd.com/about-us/platinum-spares,477
Humanetics Corporation,http://www.humaneticsatd.com/about-us/press-releases/aicon-3d-systems-sign-distribution-agreement,477
Humanetics Corporation,http://www.humaneticsatd.com/about-us/press-releases/hitec-sensor-developments-acquires-aero-sense-technologies,477
Fianium Ltd.,https://www.nktphotonics.com/about/press/,373
Fianium Ltd.,https://www.nktphotonics.com/about/values-dream-design-deliver/,373
Fianium Ltd.,https://www.nktphotonics.com/about/history-nkt-photonics/,373
Humanetics Corporation,http://www.humaneticsatd.com/about-us/events,477
Humanetics Corporation,http://www.humaneticsatd.com/about-us,477
Thorn Bioscience LLC,http://thornbioscience.com/about-us/bibliography/,1043
Humanetics Corporation,http://www.humaneticsatd.com/about-us/legal,477
Humanetics Corporation,http://www.humaneticsatd.com/about-us/press-releases,477
Humanetics Corporation,http://www.humaneticsatd.com/about-us/news/recent-media,477
Humanetics Corporation,http://www.humaneticsatd.com/about-us/technical-publications,477
Humanetics Corporation,http://www.humaneticsatd.com/services/fleet-management-services,477
Humanetics Corporation,http://www.humaneticsatd.com/about-us/press-releases/humanetics-innovative-solutions-named-one-2018%E2%80%99s-best-and-brightest-companie,477
Humanetics Corporation,http://www.humaneticsatd.com/about-us/press-releases/safety-technology-holdings-inc-acquires-fibercore-ltd,477
Humanetics Corporation,http://www.humaneticsatd.com/about-us/press-releases/christopher-o%E2%80%99connor-named-entrepreneur-year%C2%AE-2018-distribution-and-manufact,477
GROW ENERGY,http://www.growenergy.org/company/,406
GROW ENERGY,http://www.growenergy.org/company/partners/,406
GROW ENERGY,http://www.growenergy.org/company/press/,406
GROW ENERGY,http://www.growenergy.org/company/legal/,406
Entech Solar,http://entechsolutions.us/?page_id=27,344
Entech Solar,http://entechsolutions.us/?page_id=21,344
GROW ENERGY,http://www.growenergy.org/company/investors/,406
Crystal Solar Inc.,http://xtalsolar.com/company.html,267
Entech Solar,http://entechsolutions.us/?page_id=117,344
CyboEnergy,http://cyboenergy.com/company/contactus.html,272
CyboEnergy,http://cyboenergy.com/company/awards.html,272
CyboEnergy,http://cyboenergy.com/company/form.html,272
CyboEnergy,http://cyboenergy.com/business/partnership.html,272
CyboEnergy,http://cyboenergy.com/company/about_cyboenergy.html,272
aTyr Pharma,https://investors.atyrpharma.com/corporate-governance/board-committees,1136
InView Technology Corporation,http://www.inview.tv/meet-the-team/,500
Butamax(TM) Advanced Biofuels LLC,http://www.butamax.com/biofuel-company.aspx,188
InView Technology Corporation,http://www.inview.tv/mtn-launches-tv-service-in-jos-in-partnership-with-inview/,500
InView Technology Corporation,http://www.inview.tv/partners/,500
InView Technology Corporation,http://www.inview.tv/company-overview/,500
aTyr Pharma,https://investors.atyrpharma.com/news-releases/news-release-details/atyr-pharma-announces-third-quarter-2018-operating-results-and,1136
aTyr Pharma,https://investors.atyrpharma.com/corporate-governance,1136
aTyr Pharma,https://investors.atyrpharma.com/corporate-governance/board-of-directors,1136
Wenger Corporation,https://www.wengercorp.com/about-wenger.php,1112
Perkinelmer Holdings,http://www.perkinelmer.com/company/index.html,778
Perkinelmer Holdings,http://www.perkinelmer.com/corporate/company/innovation/,778
Perkinelmer Holdings,http://www.perkinelmer.com/corporate/what-we-do/markets/,778
SunLink Corporation,https://sunlink.com/about-us/,980
Perkinelmer Holdings,http://www.perkinelmer.com/corporate/User/FetchCountries,778
Perkinelmer Holdings,http://www.perkinelmer.com/corporate/training,778
Perkinelmer Holdings,http://www.perkinelmer.com/corporate/investors/,778
JNC Corporation,https://jncwheels.com/pages/about-us,532
Dana-Farber Cancer Institute,https://www.dana-farber.org/about-us/locations/,284
Perkinelmer Holdings,http://www.perkinelmer.com/corporate/stories/,778
Perkinelmer Holdings,http://www.perkinelmer.com/category/gas-management,778
Perkinelmer Holdings,http://www.perkinelmer.com/corporate/company/our-history/,778
Nthdegree Technologies Worldwide Inc.,https://www.ndeg.com/about,728
Perkinelmer Holdings,http://www.perkinelmer.com/corporate/what-we-do/capabilities/,778
Perkinelmer Holdings,http://www.perkinelmer.com/,778
Dana-Farber Cancer Institute,https://www.dana-farber.org/about-us/,284
Dana-Farber Cancer Institute,https://www.dana-farber.org/about-us/directions/,284
Dana-Farber Cancer Institute,https://www.dana-farber.org/about-us/leadership/,284
Dana-Farber Cancer Institute,https://www.dana-farber.org/about-us/community-outreach/,284
Dana-Farber Cancer Institute,https://www.dana-farber.org/about-us/careers-at-dana-farber/,284
Dana-Farber Cancer Institute,https://www.dana-farber.org/about-us/locations/?homepagewidget,284
Perkinelmer Holdings,http://www.perkinelmer.com/corporate/careers/work-that-matters.html,778
Perkinelmer Holdings,http://www.perkinelmer.com/corporate/press-room/,778
Dana-Farber Cancer Institute,https://www.dana-farber.org/about-us/staff-and-patients-connect-in-new-ad-campaign/,284
Perkinelmer Holdings,http://www.perkinelmer.com/corporate/policies/,778
Perkinelmer Holdings,http://www.perkinelmer.com/corporate/events/index.html,778
MBC Ventures,https://www.mbc.net/en/corporate/csr.html,611
Perkinelmer Holdings,http://www.perkinelmer.com/corporate/careers/index.html,778
Perkinelmer Holdings,http://www.perkinelmer.com/corporate/what-we-do/capabilities/index.html,778
Dana-Farber Cancer Institute,https://www.dana-farber.org/about-us/events-calendar/,284
Dana-Farber Cancer Institute,https://www.dana-farber.org/about-us/history-and-milestones/,284
Perkinelmer Holdings,http://www.perkinelmer.com/corporate/what-we-do/markets/index.html,778
MBC Ventures,https://www.mbc.net/en/corporate.html,611
MBC Ventures,https://www.mbc.net/en/corporate/news.html,611
MBC Ventures,https://www.mbc.net/en/corporate/about-us.html,611
Perkinelmer Holdings,http://www.perkinelmer.com/corporate/what-we-do/capabilities/services.html,778
MBC Ventures,https://www.mbc.net/mbc/en/corporate/ventures,611
MBC Ventures,https://www.mbc.net/en/corporate/ventures.html,611
Perkinelmer Holdings,http://www.perkinelmer.com/corporate/company/about-us/index.html,778
Perkinelmer Holdings,http://www.perkinelmer.com/corporate/company/leadership/index.html,778
Perkinelmer Holdings,http://www.perkinelmer.com/corporate/policies/cookies-policy.html,778
Dana-Farber Cancer Institute,https://www.dana-farber.org/for-patients-and-families/care-and-treatment/your-care-team/,284
Perkinelmer Holdings,http://www.perkinelmer.com/corporate/careers/diversity-perkinelmer.html,778
Perkinelmer Holdings,http://www.perkinelmer.com/corporate/careers/employee-experience.html,778
MBC Ventures,https://www.mbc.net/en/corporate/channels.html,611
MBC Ventures,https://www.mbc.net/mbc/ar/corporate/ventures,611
Perkinelmer Holdings,http://www.perkinelmer.com/corporate/company/corporate-governance/index.html,778
Perkinelmer Holdings,http://www.perkinelmer.com/corporate/company/corporate-social-responsibility/index.html,778
MBC Ventures,https://www.mbc.net/en/corporate/departments.html,611
MBC Ventures,https://www.mbc.net/en/corporate/channels/mbc1.html,611
Lovelace Respiratory Research Institute,https://lrri.org/about-our-companies/our-history,602
MBC Ventures,https://www.mbc.net/en/corporate/channels/mbc-max.html,611
MBC Ventures,https://www.mbc.net/mbc/en/corporate/ventures/about,611
Perkinelmer Holdings,http://www.perkinelmer.com/corporate/what-we-do/capabilities/imaging.html,778
Perkinelmer Holdings,http://www.perkinelmer.com/corporate/what-we-do/capabilities/detection.html,778
MBC Ventures,https://www.mbc.net/en/corporate/advertise.html,611
MBC Ventures,https://www.mbc.net/en/corporate/vacancies.html,611
Lovelace Respiratory Research Institute,https://lrri.org/about-our-companies/our-board,602
MBC Ventures,https://www.mbc.net/en/corporate/channels/mbc4.html,611
MBC Ventures,https://www.mbc.net/en/corporate/about-us/history.html,611
MBC Ventures,https://www.mbc.net/en/corporate/channels/mobc.html,611
MBC Ventures,https://www.mbc.net/en/corporate/channels/wanasah.html,611
MBC Ventures,https://www.mbc.net/ar/corporate/channels/mbc-site.html,611
MBC Ventures,https://www.mbc.net/mbc/en/corporate/ventures/portfolio,611
MBC Ventures,https://www.mbc.net/en/corporate/channels/mbc-drama.html,611
United Technologies Corporation,http://www.utc.com/Who-We-Are/Pages/Our-People.aspx,1080
United Technologies Corporation,http://www.utc.com/Who-We-Are/Pages/At-A-Glance.aspx,1080
United Microelectronics Corp.,http://www.umc.com/English/about/c.asp,1079
United Microelectronics Corp.,http://www.umc.com/English/CSR/b.asp,1079
MBC Ventures,https://www.mbc.net/en/corporate/about-us/mission-vision.html,611
MBC Ventures,https://www.mbc.net/en/corporate/channels/alarabiya-site.html,611
United Microelectronics Corp.,http://www.umc.com/English/CSR/index.asp,1079
United Microelectronics Corp.,http://www.umc.com/English/about/index.asp,1079
MBC Ventures,https://www.mbc.net/mbc/en/corporate/ventures/submit-proposal,611
MBC Ventures,https://www.mbc.net/en/corporate/about-us/chairman-message.html,611
United Technologies Corporation,http://www.utc.com/How-We-Work/Ethics-And-Compliance/Pages/Enterprise-Risk-Management.aspx,1080
MBC Ventures,https://www.mbc.net/en/corporate/departments/mbc-marketing.html,611
Immunolight,https://www.immunolight.com/company/press/,498
United Technologies Corporation,http://www.utc.com/Who-We-Are/Pages/Global-Diversity-and-Inclusion.aspx,1080
Mitsubishi Electric Corporation,https://www.mitsubishielectric.com/en/about/rd/index.html,656
MBC Ventures,https://www.mbc.net/ar/corporate.html,611
MBC Ventures,https://www.mbc.net/en/corporate/contact-us.html,611
MBC Ventures,https://www.mbc.net/en/corporate/channels/mbc2.html,611
MBC Ventures,https://www.mbc.net/en/corporate/channels/mbc3.html,611
MBC Ventures,https://www.mbc.net/en/corporate/channels/shahid.html,611
United Technologies Corporation,http://www.utc.com/Who-We-Are/Pages/Key-Facts.aspx,1080
MBC Ventures,https://www.mbc.net/en/corporate/channels/alhadath.html,611
MBC Ventures,https://www.mbc.net/en/corporate/departments/new-media.html,611
MBC Ventures,https://www.mbc.net/en/corporate/channels/mbc-bollywood.html,611
United Technologies Corporation,http://www.utc.com/Who-We-Are/Leadership-Team/Pages/default.aspx,1080
MBC Ventures,https://www.mbc.net/en/corporate/channels/MBC-Variety.html,611
United Technologies Corporation,http://www.utc.com/Who-We-Are/Research-Center/Pages/default.aspx,1080
United Technologies Corporation,http://www.utc.com/Who-We-Are/Corporate-Governance/Pages/Public-Activities.aspx,1080
United Microelectronics Corp.,http://www.umc.com/English/news/2018/20181122-2.asp,1079
United Technologies Corporation,http://www.utc.com/Who-We-Are/Corporate-Governance/Board-of-Directors/Pages/default.aspx,1080
MBC Ventures,https://www.mbc.net/,611
Perkinelmer Holdings,http://www.perkinelmer.com/corporate/what-we-do/markets,778
Lovelace Respiratory Research Institute,https://lrri.org/about-our-companies/rpoc,602
Lovelace Respiratory Research Institute,https://lrri.org/about-our-companies,602
United Technologies Corporation,http://www.utc.com/Pages/Home.aspx,1080
MBC Ventures,https://www.mbc.net/en/corporate/channels/mbcfm.html,611
MBC Ventures,https://www.mbc.net/en/corporate/channels/actionha.html,611
MBC Ventures,https://www.mbc.net/en/corporate/channels/mbc-action.html,611
MBC Ventures,https://www.mbc.net/en/corporate/channels/mbc-persia.html,611
MBC Ventures,https://www.mbc.net/en/corporate/channels/panoramafm.html,611
United Microelectronics Corp.,http://www.umc.com/English/about/a.asp,1079
MBC Ventures,https://www.mbc.net/en/corporate/channels/alarabiya-tv.html,611
United Technologies Corporation,http://www.utc.com/Investors/Pages/Stock-Split-History.aspx,1080
United Microelectronics Corp.,http://www.umc.com/English/about/b.asp,1079
Mitsubishi Electric Corporation,https://www.mitsubishielectric.com/en/about/history/index.html,656
United Technologies Corporation,http://www.utc.com/Who-We-Are/Corporate-Governance/Pages/default.aspx,1080
Mitsubishi Electric Corporation,https://www.mitsubishielectric.com/en/about/message/index.html,656
Mitsubishi Electric Corporation,https://www.mitsubishielectric.com/en/about/locations/index.html,656
MBC Ventures,https://www.mbc.net/en/corporate/ventures/contact-us.html,611
United Microelectronics Corp.,http://www.umc.com/English/investors/Corp_Gov.asp,1079
Immunolight,https://www.immunolight.com/company/blog/,498
Immunolight,https://www.immunolight.com/company/,498
Immunolight,https://www.immunolight.com/company/partners/,498
Mitsubishi Electric Corporation,https://www.mitsubishielectric.com/en/about/index.html,656
Mitsubishi Electric Corporation,https://www.mitsubishielectric.com/en/about/mission/index.html,656
Mitsubishi Electric Corporation,https://www.mitsubishielectric.com/en/about/rd/maisart/index.html,656
Mitsubishi Electric Corporation,https://www.mitsubishielectric.com/en/about/procurement/index.html,656
Mitsubishi Electric Corporation,https://www.mitsubishielectric.com/en/about/history/logo/index.html,656
Mitsubishi Electric Corporation,https://www.mitsubishielectric.com/en/about/rd/ip/index.html,656
