firm_key,main_topic,num_words,para_order,prob
Nanoquantum Sciences.txt,6,12,7,0.930755615234
Nanoquantum Sciences.txt,9,16,8,0.582889974117
Nanoquantum Sciences.txt,4,19,9,0.954994320869
Nanoquantum Sciences.txt,8,11,10,0.924989044666
Nanoquantum Sciences.txt,6,9,11,0.909988105297
Nanoquantum Sciences.txt,6,8,12,0.899983406067
PetraSolar.txt,4,19,1,0.954990565777
PetraSolar.txt,7,18,2,0.952621996403
PetraSolar.txt,7,39,3,0.977494895458
PetraSolar.txt,7,43,4,0.598116338253
PetraSolar.txt,7,37,5,0.777067482471
PetraSolar.txt,7,35,6,0.974995493889
Research Triangle Institute.txt,6,20,1,0.95713198185
Research Triangle Institute.txt,6,14,2,0.939987957478
Research Triangle Institute.txt,8,23,3,0.637322068214
Research Triangle Institute.txt,5,13,4,0.935696184635
Research Triangle Institute.txt,0,14,5,0.939988315105
Research Triangle Institute.txt,8,11,6,0.924984633923
Research Triangle Institute.txt,0,12,7,0.93075633049
Research Triangle Institute.txt,5,20,8,0.744047641754
Research Triangle Institute.txt,9,21,9,0.95908331871
Domtar Paper Company.txt,7,27,1,0.96784979105
Domtar Paper Company.txt,7,22,2,0.960859119892
Domtar Paper Company.txt,7,40,3,0.97804325819
Domtar Paper Company.txt,7,19,4,0.954990386963
Domtar Paper Company.txt,2,20,5,0.957134366035
Domtar Paper Company.txt,0,11,6,0.924979448318
Domtar Paper Company.txt,1,14,7,0.805569052696
Domtar Paper Company.txt,0,15,8,0.622989654541
Domtar Paper Company.txt,9,16,9,0.50714635849
Domtar Paper Company.txt,0,15,10,0.943730652332
Domtar Paper Company.txt,8,23,11,0.962490022182
Domtar Paper Company.txt,9,16,12,0.94704502821
Domtar Paper Company.txt,7,15,13,0.943740069866
Domtar Paper Company.txt,7,19,14,0.954990208149
Domtar Paper Company.txt,0,16,15,0.589547038078
SolarWorld Americas Inc_.txt,6,13,1,0.9357021451
SolarWorld Americas Inc_.txt,5,16,2,0.94704580307
SUNSALUTER.txt,2,20,1,0.957131683826
SUNSALUTER.txt,4,42,2,0.97906434536
SUNSALUTER.txt,3,72,3,0.62946665287
SUNSALUTER.txt,3,77,4,0.575705766678
SUNSALUTER.txt,2,13,5,0.935699939728
SUNSALUTER.txt,0,8,6,0.899974644184
SUNSALUTER.txt,0,31,7,0.796227872372
Nanocopocia.txt,2,27,1,0.967848837376
Nanocopocia.txt,4,18,2,0.952618420124
Nanocopocia.txt,4,35,3,0.548260986805
Nanocopocia.txt,2,13,4,0.935701668262
Boehringer Ingelheim Vetmedica GmbH.txt,2,11,1,0.518316686153
Boehringer Ingelheim Vetmedica GmbH.txt,6,10,2,0.918167710304
Boehringer Ingelheim Vetmedica GmbH.txt,3,15,3,0.943737506866
Boehringer Ingelheim Vetmedica GmbH.txt,2,15,4,0.549774706364
Boehringer Ingelheim Vetmedica GmbH.txt,0,25,5,0.745686531067
Boehringer Ingelheim Vetmedica GmbH.txt,2,21,6,0.412278831005
Boehringer Ingelheim Vetmedica GmbH.txt,4,18,7,0.952618181705
Janssen Biotech.txt,9,18,1,0.952617168427
Janssen Biotech.txt,3,12,2,0.593698501587
Janssen Biotech.txt,7,12,3,0.930753171444
Janssen Biotech.txt,2,9,4,0.909976482391
Janssen Biotech.txt,7,12,5,0.930753946304
Janssen Biotech.txt,2,9,6,0.909976482391
Janssen Biotech.txt,9,20,7,0.885205566883
Janssen Biotech.txt,9,23,8,0.962493419647
Janssen Biotech.txt,0,12,9,0.75476449728
Janssen Biotech.txt,8,16,10,0.947045743465
Janssen Biotech.txt,6,17,11,0.949990391731
Janssen Biotech.txt,6,17,12,0.949993550777
Janssen Biotech.txt,6,14,13,0.939992725849
Janssen Biotech.txt,6,14,14,0.93999260664
Janssen Biotech.txt,6,17,15,0.949995458126
Janssen Biotech.txt,6,17,16,0.949993789196
Janssen Biotech.txt,6,15,17,0.943742334843
Janssen Biotech.txt,6,14,18,0.878792703152
Janssen Biotech.txt,6,23,19,0.962491929531
Janssen Biotech.txt,6,18,20,0.952627182007
Janssen Biotech.txt,9,41,21,0.978568017483
Janssen Biotech.txt,0,21,22,0.959085047245
Janssen Biotech.txt,0,21,23,0.959085404873
Janssen Biotech.txt,0,21,24,0.959085702896
Janssen Biotech.txt,0,21,25,0.95908510685
Janssen Biotech.txt,7,11,26,0.924994409084
Janssen Biotech.txt,6,18,27,0.952622771263
Janssen Biotech.txt,1,23,28,0.962493598461
Janssen Biotech.txt,7,22,29,0.646364212036
Janssen Biotech.txt,6,23,30,0.601781308651
Janssen Biotech.txt,6,13,31,0.779793024063
Janssen Biotech.txt,6,17,32,0.949993371964
Janssen Biotech.txt,6,18,33,0.95262658596
Janssen Biotech.txt,8,17,34,0.949996948242
Janssen Biotech.txt,8,17,35,0.949996232986
Janssen Biotech.txt,8,17,36,0.949997067451
Janssen Biotech.txt,1,16,37,0.947052776814
Janssen Biotech.txt,1,17,38,0.94999474287
Janssen Biotech.txt,1,17,39,0.949994504452
Janssen Biotech.txt,1,16,40,0.947052657604
Janssen Biotech.txt,6,20,41,0.957134187222
Janssen Biotech.txt,6,18,42,0.952626764774
Janssen Biotech.txt,6,18,43,0.952626466751
Janssen Biotech.txt,1,47,44,0.981245458126
Janssen Biotech.txt,1,47,45,0.981245338917
Janssen Biotech.txt,6,17,46,0.949993431568
Janssen Biotech.txt,6,18,47,0.95262658596
Janssen Biotech.txt,6,18,48,0.952626764774
Janssen Biotech.txt,0,22,49,0.960864841938
Janssen Biotech.txt,6,19,50,0.9549908638
Janssen Biotech.txt,6,12,51,0.930762171745
Janssen Biotech.txt,6,13,52,0.935707330704
Janssen Biotech.txt,6,17,53,0.949990391731
Janssen Biotech.txt,6,17,54,0.949993550777
Janssen Biotech.txt,6,14,55,0.939992725849
Janssen Biotech.txt,6,14,56,0.939993262291
Janssen Biotech.txt,6,17,57,0.949995279312
Janssen Biotech.txt,6,17,58,0.949993908405
Janssen Biotech.txt,6,15,59,0.943742215633
Janssen Biotech.txt,6,14,60,0.866800963879
Janssen Biotech.txt,6,23,61,0.962491929531
Janssen Biotech.txt,6,18,62,0.952627182007
Janssen Biotech.txt,9,41,63,0.978568017483
Janssen Biotech.txt,0,21,64,0.959084928036
Janssen Biotech.txt,0,21,65,0.959085047245
Janssen Biotech.txt,0,21,66,0.959085702896
Janssen Biotech.txt,0,21,67,0.959084749222
Janssen Biotech.txt,7,11,68,0.924994468689
Janssen Biotech.txt,6,18,69,0.952622890472
Janssen Biotech.txt,1,23,70,0.962493240833
Janssen Biotech.txt,7,22,71,0.646367251873
Janssen Biotech.txt,6,23,72,0.601672708988
Janssen Biotech.txt,6,13,73,0.77866178751
Janssen Biotech.txt,6,17,74,0.949993252754
Janssen Biotech.txt,6,18,75,0.952626407146
Janssen Biotech.txt,8,17,76,0.949997186661
Janssen Biotech.txt,8,17,77,0.949996232986
Janssen Biotech.txt,8,17,78,0.949997067451
Janssen Biotech.txt,1,16,79,0.947052776814
Janssen Biotech.txt,1,17,80,0.949994623661
Janssen Biotech.txt,1,17,81,0.949994325638
Janssen Biotech.txt,1,16,82,0.947052657604
Janssen Biotech.txt,6,20,83,0.95713442564
Janssen Biotech.txt,6,18,84,0.952626764774
Janssen Biotech.txt,6,18,85,0.95262658596
Janssen Biotech.txt,1,47,86,0.981245458126
Janssen Biotech.txt,1,47,87,0.981245338917
Janssen Biotech.txt,6,17,88,0.949993014336
Janssen Biotech.txt,6,18,89,0.952627003193
Janssen Biotech.txt,6,18,90,0.952626764774
Janssen Biotech.txt,0,22,91,0.960864961147
Janssen Biotech.txt,6,19,92,0.954991042614
Janssen Biotech.txt,6,12,93,0.930761933327
Janssen Biotech.txt,6,13,94,0.935708105564
Janssen Biotech.txt,8,13,95,0.523905158043
Janssen Biotech.txt,4,14,96,0.939983725548
Janssen Biotech.txt,4,42,97,0.520945191383
SPICE SOLAR.txt,2,20,1,0.95713442564
