firm_name,url,li_emps,median_gw_emps,emp_diff,max_emps,size_state,state_diff,base_domain,subsidiary_adjust
BASF,basf.com/,,105504.0,,105504.0,FirmSize.LARGE_FIRM,5,basf.com,1
BASF Corporation ,basf.com/,60581.0,95518.0,34937.0,105504.0,FirmSize.LARGE_FIRM,0,basf.com,1
BASF SE,basf.com/,60581.0,,,105504.0,FirmSize.LARGE_FIRM,5,basf.com,1
Battelle Memorial Institute,battelle.org/,4359.0,7356.0,2997.0,7356.0,FirmSize.LARGE_FIRM,0,battelle.org,1
Battelle Energy Alliance,battelle.org/laboratory-management,1247.0,,,7356.0,FirmSize.LARGE_FIRM,5,battelle.org,1
Bausch & Lomb Incorporated,bausch.com/,6699.0,11500.0,4801.0,11500.0,FirmSize.LARGE_FIRM,0,bausch.com,0
Baxter Healthcare SA,baxter.com/,25090.0,,,47000.0,FirmSize.LARGE_FIRM,5,baxter.com,1
Baxter International Inc.,baxter.com/,621.0,47000.0,46379.0,47000.0,FirmSize.LARGE_FIRM,0,baxter.com,1
Bayer Materialscience LLC,bayer.com/,3.0,,,3.0,FirmSize.MICRO_FIRM,1,bayer.com,0
Becton,bd.com/,24795.0,58982.5,34187.5,58982.5,FirmSize.LARGE_FIRM,0,bd.com,0
Accuri Cytometers,bdbiosciences.com/us/instruments/research/cell-analyzers/bd-accuri/m/1294932/overview,10.0,,,10.0,FirmSize.SMALL_FIRM,2,bdbiosciences.com,0
Beryllium Discovery Corp.,be4.com/,,,,,FirmSize.UNDEFINED,0,be4.com,0
Bell Helicopter Textron Inc.,bellflight.com/,1935.0,2500.0,565.0,2500.0,FirmSize.LARGE_FIRM,0,bellflight.com,0
Bemis Company,bemis.com/,4092.0,16582.0,12490.0,16582.0,FirmSize.LARGE_FIRM,0,bemis.com,0
BERKEN ENERGY LLC,berkenenergy.com/,7.0,,,7.0,FirmSize.MICRO_FIRM,1,berkenenergy.com,0
Bestway,bestwaycorp.us/,146.0,17888.0,17742.0,17888.0,FirmSize.LARGE_FIRM,2,bestwaycorp.us,0
Baker Hughes Incorporated,bhge.com/,51576.0,64000.0,12424.0,64000.0,FirmSize.LARGE_FIRM,0,bhge.com,0
Boehringer Ingelheim Vetmedica GmbH,bi-vetmedica.com/,36273.0,1500.0,34773.0,36273.0,FirmSize.LARGE_FIRM,0,bi-vetmedica.com,0
Big Belly Solar,bigbelly.com/,63.0,,,63.0,FirmSize.EU_MEDIUM_FIRM,3,bigbelly.com,0
Bigelow Aerospace,bigelowaerospace.com/,129.0,150.0,21.0,150.0,FirmSize.EU_MEDIUM_FIRM,0,bigelowaerospace.com,0
Green Box Batteries,biggreenbox.com/,10.0,,,10.0,FirmSize.SMALL_FIRM,2,biggreenbox.com,0
Bio-Rad Laboratories,bio-rad.com/,7053.0,,,7053.0,FirmSize.LARGE_FIRM,5,bio-rad.com,0
Biocare Medical,biocare.net/,208.0,1330.0,1122.0,1330.0,FirmSize.LARGE_FIRM,2,biocare.net,0
Biocon Limited,biocon.com/,7735.0,9763.5,2028.5,9763.5,FirmSize.LARGE_FIRM,0,biocon.com,0
