"firm","lookup_firm","lookup_firm_web","hit_url","nano","green","synbio","count_all_ind","max_emps","size_state","sme","pages","num_words","avg_words_per_page","year.min.p..date...","num_patents_all","num_patents_3","mean_assignees_all","mean_assignees_3","mean_inventors_all","mean_inventors_3","patent_pattern","rd_pattern","product_pattern","trial_pattern","demo_pattern","manufacturing_pattern","venture_pattern","investment_pattern","university_pattern","partnership_pattern","greenness_pattern","customization_pattern","awards_pattern","membership_pattern","customer_pattern","about_gen.count","about_exact.count","default_to_home","mean_i2017y","mean_cd2017y"
"Starsource Scientific LLC","Starsource Scientific","Starsource Scientific","starsource.com/about/?41.html",0,1,0,1,2,"FirmSize.MICRO_FIRM",1,13,23652,1819.38461538462,2016,1,1,1,1,4,4,1,3,0,4,5,3,0,0,0,0,0,1,3,0,1,6,5,0,0,0
"STATS ChipPAC","STATS ChipPAC","STATS ChipPAC","statschippac.com/",1,0,0,1,3535,"FirmSize.LARGE_FIRM",0,42,275417,6557.54761904762,2005,1553,16,1.0032195750161,1,3.10624597553123,3.6875,5,10,6,10,11,30,0,6,22,10,0,7,5,5,11,11,3,0,4.049902786779,0.024341993889825
"STMicroelectronics Limited","STMicroelectronics Limited","STMicroelectronics Limited","st.com/content/st_com/en.html",1,0,0,1,23546,"FirmSize.LARGE_FIRM",0,9,239249,26583.2222222222,2000,393,2,1.07379134860051,1,1.87277353689567,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.91071428571429,0.0278870697346939
"STMicroelectronics S.A.","STMicroelectronics SA","STMicroelectronics SA","st.com/content/st_com/en.html",1,1,1,3,23546,"FirmSize.LARGE_FIRM",0,NA,NA,NA,1997,7635,27,1.13569089718402,1.48148148148148,2.43824492468893,3.18518518518519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.62570938366108,0.0577355547302362
"Stora Enso Oyj","Stora Enso Oyj","Stora Enso Oyj","storaenso.com/",1,0,0,1,25657,"FirmSize.LARGE_FIRM",0,38,2911510,76618.6842105263,2001,83,3,1.2289156626506,1.33333333333333,3.93975903614458,7,0,1,1,0,0,6,0,3,1,2,8,0,0,0,0,2,1,0,1.08641975308642,0.0472503862962963
"Stratasys","Stratasys","Stratasys","stratasys.com/",1,0,0,1,1440,"FirmSize.LARGE_FIRM",0,48,377200,7858.33333333333,1992,228,1,1.00438596491228,1,2.75877192982456,5,1,2,16,2,3,31,2,1,3,23,2,10,0,0,11,4,1,0,21.830985915493,-0.0130381452957746
"Strategic Solar Energy","Strategic Solar Energy","Strategic Solar Energy","powerparasol.com/",0,1,0,1,7,"FirmSize.MICRO_FIRM",1,15,60900,4060,2014,2,1,1,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.00641025
"Suganit Systems","Suganit Systems","Suganit Systems","suganit.com/",0,1,0,1,4,"FirmSize.MICRO_FIRM",1,NA,NA,NA,1977,6,1,1.5,2,3.66666666666667,4,2,8,1,0,0,11,0,0,2,1,11,0,0,0,0,1,1,0,8.33333333333333,0.160426701666667
"Sumco Corporation","Sumco","Sumco","sumco.com/",1,1,0,2,7795,"FirmSize.LARGE_FIRM",0,8,19373,2421.625,1976,396,8,1.08080808080808,1.125,2.60606060606061,3,0,2,0,2,2,4,0,0,0,2,1,5,1,0,5,2,1,0,2.56315789473684,0.0896969150263158
"Sumitomo Electric Device Innovations","Sumitomo Electric Device Innovations","Sumitomo Electric Device Innovations","sedi.co.jp/?version=en",1,0,0,1,1151,"FirmSize.LARGE_FIRM",0,72,103789,1441.51388888889,2010,146,7,1.13013698630137,1,1.71917808219178,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0.363013698630137,0.0789537054794521
"Sumitomo Electric Industries","Sumitomo Electric Industries","Sumitomo Electric Industries","global-sei.com/",1,0,1,2,240309,"FirmSize.LARGE_FIRM",0,74,363859,4917.01351351351,1976,6735,40,1.34758723088344,1.125,2.93170007423905,2.7,2,33,52,20,28,87,6,11,1,19,10,12,7,11,12,27,10,0,8.2213397272591,0.131781579581897
"Sumitomo Rubber Industries","Sumitomo Rubber Industries","Sumitomo Rubber Industries","sumitomorubber-usa.com/",1,0,1,2,36650,"FirmSize.LARGE_FIRM",0,18,73245,4069.16666666667,1976,2522,4,1.0725614591594,1,1.92149088025377,1,0,5,9,11,6,20,0,1,0,2,0,2,0,1,2,8,3,0,8.68103847936949,0.0990371478674084
