,Unnamed: 0,firm_name,url,li_emps,median_gw_emps,emp_diff,max_emps,size_state,state_diff,base_domain,subsidiary_adjust,clnd_name_x,fg500_match,clnd_fg500,rank,name,emps,clnd_name_y
87,1160,Life Technologies Corporation,thermofisher.com/us/en/home.html,15.0,,,39584.0,FirmSize.LARGE_FIRM,2,thermofisher.com,1,Life,Thermo Fisher Scientific,Thermo Fisher Scientific,124,Thermo Fisher Scientific,"69,200",Thermo Fisher Scientific
89,242,Cisco Technology,cisco.com/,14.0,39200.0,39186.0,5500.0,FirmSize.LARGE_FIRM,3,cisco.com,0,Cisco Technology,Cisco Systems,Cisco Systems,64,Cisco Systems,"74,200",Cisco Systems
90,1093,Sumitomo Rubber Industries,sumitomorubber-usa.com/,262.0,36650.0,36388.0,36650.0,FirmSize.LARGE_FIRM,1,sumitomorubber-usa.com,0,Sumitomo Rubber Industries,Sumitomo,Sumitomo,231,Sumitomo,"65,662",Sumitomo
91,1069,Sony Corporation,sony.com/,35467.0,10612.0,24855.0,35467.0,FirmSize.LARGE_FIRM,0,sony.com,0,Sony,Sony,Sony,116,Sony,"114,400",Sony
92,64,ALSTOM Technology Ltd,alstom.com/,30819.0,34500.0,3681.0,34500.0,FirmSize.LARGE_FIRM,0,alstom.com,0,ALSTOM Technology,DXC Technology,DXC Technology,122,DXC Technology,"150,000",DXC Technology
93,719,Micron Technology,micron.com/,16572.0,34100.0,17528.0,19650.0,FirmSize.LARGE_FIRM,0,micron.com,0,Micron Technology,Micron Technology,Micron Technology,105,Micron Technology,"36,000",Micron Technology
94,555,American Air Liquide,industry.airliquide.us/,28694.0,32900.0,4206.0,28694.0,FirmSize.LARGE_FIRM,0,industry.airliquide.us,0,American Air Liquide,American Airlines,American Airlines,68,American Airlines Group,"128,900",American Airlines
95,27,Archer Daniels Midland Company,adm.com/,12644.0,31800.0,19156.0,32300.0,FirmSize.LARGE_FIRM,0,adm.com,0,Archer Daniels Midland Company,Archer Daniels Midland,Archer Daniels Midland,49,Archer Daniels Midland,"31,600",Archer Daniels Midland
96,964,Rockwell Collins,rockwellcollins.com/,17427.0,31200.0,13773.0,36092.0,FirmSize.LARGE_FIRM,0,rockwellcollins.com,0,Rockwell Collins,Rockwell Collins,Rockwell Collins,350,Rockwell Collins,"31,200",Rockwell Collins
97,828,Freescale Semiconductor,nxp.com/,8227.0,17300.0,9073.0,17300.0,FirmSize.LARGE_FIRM,0,nxp.com,1,Freescale Semiconductor,ON Semiconductor,ON Semiconductor,485,ON Semiconductor,"35,700",ON Semiconductor
98,136,Avery Dennison Corporation,averydennison.com/,13807.0,30000.0,16193.0,30000.0,FirmSize.LARGE_FIRM,0,averydennison.com,0,Avery Dennison,Avery Dennison,Avery Dennison,425,Avery Dennison,"30,000",Avery Dennison
99,187,Boston Scientific Scimed,bostonscientific.com/en-US/Home.html,29785.0,29000.0,785.0,29785.0,FirmSize.LARGE_FIRM,0,bostonscientific.com,0,Boston Scientific Scimed,Boston Scientific,Boston Scientific,319,Boston Scientific,"32,000",Boston Scientific
100,522,Texas Instruments Deutschland GmbH,ti.com/,25182.0,29714.0,4532.0,29714.0,FirmSize.LARGE_FIRM,0,ti.com,1,Texas Instruments Deutschland,Texas Instruments,Texas Instruments,199,Texas Instruments,"29,888",Texas Instruments
102,182,Bristol-Myers Squibb Company,bms.com/,29587.0,,,29587.0,FirmSize.LARGE_FIRM,5,bms.com,0,Bristol-Myers Squibb Company,Bristol-Myers Squibb,Bristol-Myers Squibb,138,Bristol-Myers Squibb,"23,300",Bristol-Myers Squibb
104,4,AbbVie Inc.,abbvie.com/,26260.0,29000.0,2740.0,29000.0,FirmSize.LARGE_FIRM,0,abbvie.com,0,AbbVie,AbbVie,AbbVie,96,AbbVie,"30,000",AbbVie
105,302,Dana Corporation,dana.com/,9131.0,27500.0,18369.0,30100.0,FirmSize.LARGE_FIRM,0,dana.com,0,Dana,Dana,Dana,373,Dana,"30,900",Dana
106,512,Honda Motor Co.,honda.com/,8107.0,27500.0,19393.0,25000.0,FirmSize.LARGE_FIRM,0,honda.com,0,Honda Motor Co,Honda Motor,Honda Motor,34,Honda Motor,"219,722",Honda Motor
107,70,Amgen Fremont Inc.,amgen.com/,27187.0,,,27187.0,FirmSize.LARGE_FIRM,5,amgen.com,1,Amgen Fremont,Amgen,Amgen,129,Amgen,"21,500",Amgen
109,857,PACCAR Inc,paccar.com/,4056.0,25000.0,20944.0,25000.0,FirmSize.LARGE_FIRM,0,paccar.com,0,PACCAR,Paccar,Paccar,130,Paccar,"28,000",Paccar
110,254,Colgate-Palmolive Company,colgatepalmolive.com/en-us,24464.0,,,24464.0,FirmSize.LARGE_FIRM,5,colgatepalmolive.com,0,Colgate-Palmolive Company,Colgate-Palmolive,Colgate-Palmolive,202,Colgate-Palmolive,"34,500",Colgate-Palmolive
111,610,Kia Motors Corporation ,kia.com/us/en/home,2819.0,22346.0,19527.0,2819.0,FirmSize.LARGE_FIRM,0,kia.com,0,Kia Motors,Kia Motors,Kia Motors,227,Kia Motors,"52,578",Kia Motors
112,228,Saint-Gobain Ceramics & Plastics,ceramicmaterials.saint-gobain.com/,22125.0,,,22125.0,FirmSize.LARGE_FIRM,5,ceramicmaterials.saint-gobain.com,0,Saint-Gobain Ceramics  Plastics,Saint-Gobain,Saint-Gobain,226,Saint-Gobain,"181,001",Saint-Gobain
