firm name,link,acquired_merged,public
LAVA ENERGY SYSTEMS,https://www.dandb.com/businessdirectory/lavaenergysystems-ogden-ut-29779391.html,0,0
LG Bionano,https://www.sgpbusiness.com/company/Lg-Bionano-Pte-Ltd,0,0
LG Display Co.,http://www.lgdisplay.com/eng/main,0,0
LG NANOH2O,http://www.lgwatersolutions.com/en/main,0,0
LIQUID X PRINTED METALS,http://www.liquid-x.com/,0,0
LUCERA LABS,https://www.luceralabs.com/,0,0
Lake Lite,https://www.lakelite.com/,0,0
Landauer,https://www.landauer.com/,0,0
Laserline Mfg.,https://laserlinemfg.com/,0,0
Lawrence Livermore National Security,https://www.llnsllc.com/,0,0
Leap Frogg,http://www.leapfrog.com/en-us/home,0,0
Lehigh Technologies,http://lehightechnologies.com/,0,0
Lion Copolymer Geismar,http://www.lionelastomers.com/,0,0
Liquidia Technologies,http://liquidia.com/,0,0
Little Kids,http://www.littlekidsinc.com/,0,0
Livetv,http://livetv.sx/enx/,0,0
Locus Energy,https://www.locusenergy.com/,0,0
Longhorn Vaccines and Diagnostics,https://www.lhnvd.com/primemix,0,0
Los Alamos National Security,http://www.lansllc.com/,0,0
Lumenco,https://en.lumenco.ca/,0,0
Lux Bio Group,http://luxbiogroup.com/,0,0
Lyotropic Therapeutics,https://bciq.biocentury.com/companies/lyotropic_therapeutics_inc,0,0
MANUFACTURING RESOURCES INTERNATIONAL,https://mri-inc.net/,0,0
MAXLINEAR,http://www.maxlinear.com/,0,0
MBC Ventures,http://www.mbc.net/en/corporate/ventures/about,0,0
MCI,http://www.flykci.com/,0,0
MEDport,http://www.medportohio.com/,0,0
MICROMIDAS,http://www.plasticsnews.com/article/20130607/NEWS/130609934/micromidas-tackling-bio-based-pet,0,0
MICROSOFT TECHNOLOGY LICENSING,https://www.microsoft.com/en-us/legal/intellectualproperty/mtl/default.aspx,0,0
MIETAMARK GENETICS,http://metamarkgenetics.com/,0,0
MONTEREY RESEARCH,https://www.mbari.org/,0,0
Ma-West,https://www.imdb.com/name/nm0922213/,0,0
Macronix International Co.,http://www.macronix.com/en-us/Pages/default.aspx,0,0
Magnachip Semiconductor,http://www.magnachip.com/,0,0
Magnolia Optical Technologies,http://magnoliaoptical.com/,0,0
Magnolia Solar,http://magnoliasolar.com/,0,0
Magnolia Solar,http://magnoliasolar.com/,0,0
Mallinckrodt,https://mallinckrodt.wd5.myworkdayjobs.com/en-US/MallinckrodtCareers/,0,0
Manta Instruments,http://www.mantainc.com/,0,0
Marine Polymer Technologies,http://marinepolymer.com/,0,0
Masimo Semiconductor,http://masimosemiconductor.com/masimo-semiconductor/,0,0
Materia,http://www.materia-inc.com/,0,0
Matrix Genetics,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=128234419,0,0
Matrix Odyssey,https://www.youtube.com/user/OdysseyMatrix,0,0
Mattson Technology,http://www.mattson.com/,0,0
Maxout Renewables,http://www.maxoutrenewables.com/,0,0
McAlister Technologies,https://mcallister.com/,0,0
McElroy Manufacturing,http://www.mcelroy.com/,0,0
Medical Diagnostic Laboratories,http://www.mdlab.com/,0,0
Medtronic Vascular,http://www.medtronic.com/us-en/healthcare-professionals/products/cardiovascular.html,0,0
Meso Scale Technologies,https://www.mesoscale.com/,0,0
Metabolix,https://www.yield10bio.com/,0,0
Meyer Tool,https://www.meyertool.com/,0,0
Micro Cooling Concepts,http://microcoolingconcepts.com/,0,0
MicroContinuum,http://microcontinuum.com/,0,0
MicroLink Devices,http://mldevices.com/,0,0
Microchips Biotech,http://www.microchipsbiotech.com/,0,0
Micron Technology,https://www.micron.com/,0,0
Microsurge,https://www.talcusa.com/microsurge/,0,0
Midori USA,https://www.midorihealth.com/,0,0
Midrex Technologies,https://www.midrex.com/,0,0
Minebea Co.,http://www.minebeamitsumi.com/english/,0,0
MirTech,http://www.mirtechusa.com/,0,0
Mission Product Holdings,https://www.mission.com/,0,0
Mitsubishi Polyester Film,https://www.m-petfilm.com/,0,0
Molecular Imprints,https://news.utexas.edu/2014/02/17/molecular-imprints-acquired-by-canon,0,0
Molecular Rebar Design,http://www.molecularrebar.com/,0,0
MonoSol,https://www.monosol.com/,0,0
Morpho,https://www.morpho.com/,0,0
Moxtek,http://moxtek.com/,0,0
Mumetel,http://www.mumetel.com/index.html,0,0
Murata Manufacturing Co.,https://www.murata.com/,0,0
NANO CELL SYSTEMS,https://www.saltpoolguys.com/autopilot-pool-pilot-parts-cells/,0,0
NANOPHTHALMICS,http://medical-dictionary.thefreedictionary.com/nanophthalmos,0,0
NCC Nano,https://www.novacentrix.com/,0,0
NGK Spark Plug Co.,https://www.ngksparkplugs.com/,0,0
NLT TECHNOLOGIES,https://www.tianma.co.jp/en/,0,0
NXP USA,https://www.nxp.com/,0,0
NanoLab,https://nanolab.berkeley.edu/,0,0
NanoMech,http://www.nanomech.com/,0,0
NanoOncology,https://www.iinano.org/nanooncology,0,0
NanoTech Lubricants,http://nanotechlubricantsinc.com/Home.html,0,0
Nanoco Technologies,http://www.nanocotechnologies.com/,0,0
Nanocopocia,https://nanocopoeia.com/,0,0
Nanoholdings,https://www.nh2.com/,0,0
Nanomix,http://www.nano.com/,0,0
Nanoquantum Sciences,http://nanoquantum.com/,0,0
Nanoridge Materials,http://nanoridge.com/,0,0
Nanospectra Biosciences,https://www.nanospectra.com/,0,0
Nanosys,http://www.nanosysinc.com/,0,0
Nanotech Biomachines,http://www.nanotechbio.com/,0,0
Nanotek Instruments,http://nanotekinstruments.com/,0,0
Nant Holdings IP,https://www.corporationwiki.com/California/Los-Angeles/nant-holdings-ip-llc/47150767.aspx,0,0
Nantero,http://nantero.com/,0,0
Narsys,https://www.ncsbn.org/license-verification.htm,0,0
Nationwide Children's Hospital,https://www.nationwidechildrens.org/,0,0
NetApp,https://www.netapp.com/us/index.aspx,0,0
NeuMoDx Molecular,http://www.neumodx.com/,0,0
Neumedicines,http://www.neumedicines.com/,0,0
Neural Signals,http://www.neuralsignals.com/,0,0
Neutronic Perpetual Innovations,https://www.linkedin.com/company/neutronic-perpetual-innovations,0,0
New England Biolabs,https://www.neb.com/,0,0
New Technology Ventures,https://www.newtechvc.com/,0,0
Newlans,http://www.newlans.com/,0,0
Nexcom Technology,http://www.nexcom.com/Support/ComputerOnModule/com-technology,0,0
Nippon Shokubai Co.,https://www.shokubai.co.jp/en/,0,0
Nissan Motor Co.,https://www.nissan-global.com/EN/,0,0
Nissan North America,https://www.nissanusa.com/,0,0
Nokomis,http://www.nokomis.k12.il.us/,0,0
Nordic Technologies,http://nordic-technologies.com/,0,0
Northwest Biotherapeutics,https://www.nwbio.com/,0,0
Nova Technologies,https://www.novatechnologies.com/,0,0
NovaSolix,http://www.novasolix.com/,0,0
Novellus Systems,https://www.lamresearch.com/,0,0
Novon,http://www.novon.com/,0,0
Novozymes North America,https://www.novozymes.com/en,0,0
Novus Technology,https://www.novustek.net/,0,0
NuOrtho Surgical,http://nuortho.com/,0,0
OAS Design Group,http://oasdesigngroup.com/,0,0
OFS Fitel,https://www.ofsoptics.com/,0,0
OPTERRA ENERGY SERVICES,https://engieservices.us/,0,0
OSI Optoelectronics,http://www.osioptoelectronics.com/,0,0
OTSUKA PHARMACEUTICAL CO.,https://www.otsuka.co.jp/en/,0,0
Oceanit Laboratories,https://www.oceanit.com/,0,0
Oculus VR,https://www.oculus.com/,0,0
Ojai Retinal Technology,https://www.bizapedia.com/ca/ojai-retinal-technology-llc.html,0,0
OmniVision Technologies,https://www.ovt.com/,0,0
Opel Solar,http://opalsolar.com.au/,0,0
OrbusNeich Medical,https://www.orbusneich.com/,0,0
Ormet Circuits,https://www.emdgroup.com/en/expertise/semiconductors.html,0,0
Ortho-Clinical Diagnostics,https://www.orthoclinicaldiagnostics.com/,0,0
Ostendo Technologies,http://ostendo.com/,0,0
Ovonic Battery Company,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=1910626,0,0
PAX Scientific,http://paxscientific.com/,0,0
PDF Solutions,http://www.freepdfsolutions.com/,0,0
PELLION TECHNOLOGIES,http://www.pelliontech.com/,0,0
PLYCEM USA,https://allurausa.com/,0,0
PNM,https://www.pnm.com/,0,0
POET Research,https://www.poet.com/scotland,0,0
POSiFA MICROSYSTEMS,https://posifamicrosystems.com/,0,0
PPG Industries Ohio,http://corporate.ppg.com/Home.aspx,0,0
PTC Therapeutics,https://www.ptcbio.com/,0,0
Pacific Biosciences of California,https://www.pacb.com/,0,0
Pacific Light Technologies,http://www.pacificlighttech.com/,0,0
Panasonic Intellectual Property Management Co.,https://www.valuenex.net/panasonic-ip-management,0,0
Paratek Pharmaceuticals,https://paratekpharma.com/,0,0
Pardev,https://www.youtube.com/user/paradev,0,0
Parion Sciences,http://www.parion.com/,0,0
Pendar Technologies,http://www.pendar.com/,0,0
Pentron Clinical Technologies,https://www.pentron.com/,0,0
Performance Plants,http://www.performanceplants.com/,0,0
Perkinelmer Holdings,http://www.perkinelmer.com/,0,0
PetraSolar,http://www.petrasystems.com/,0,0
Peytant Solutions,http://www.peytant.com/,0,0
Pharmatrophix,http://www.pharmatrophix.com/,0,0
Phoseon Technology,https://www.phoseon.com/,0,0
Photon Dynamics,https://www.orbotech.com/,0,0
Piksel,https://piksel.com/,0,0
Pinnacle Technology,https://pinnaclet.com/,0,0
Pioneer Energy,http://www.mypioneerenergy.com/,0,0
Pioneer Hi-Bred International,http://www.dupont.com/corporate-functions/our-company/businesses/pioneer.html,0,0
Pioneer Hi-Bred,http://www.dupont.com/corporate-functions/our-company/businesses/pioneer.html,0,0
Pixelligent Technologies,https://www.pixelligent.com/,0,0
Planet ATE,http://www.sycr.com/Intersil-Inc-Acquires-Planet-ATE-Inc-for-46-Million/,0,0
Plant Sensory Systems,https://www.plantsensorysystems.com/,0,0
Plasma Tech Holdings,http://www.patentbuddy.com/Company/Profile/PLASMA-TECH-HOLDINGS-LLC/20119652,0,0
Plasma-Therm,http://www.plasmatherm.com/,0,0
PluroGen Therapeutics,http://plurogen.com/,0,0
Poly-Med,http://poly-med.com/,0,0
PortaFire,http://www.port-a-fire.ca/,0,0
Power Integrations,https://www.power.com/,0,0
Praxair S.T. Technology,http://www.praxairsurfacetechnologies.com/,0,0
Praxair Technology,http://www.praxair.com/,0,0
Precision Custom Coatings,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapid=33198,0,0
Previvo Genetics,http://previvo.com/,0,0
Princeton Optronics,https://ams.com/applications,0,0
ProNAi Therapeutics,https://www.sierraoncology.com/,0,0
Production Resource Group,https://www.prg.com/,0,0
Professional Compounding Centers of America,http://www.pccarx.com/,0,0
Propagation Research Associates,http://pra-corp.com/,0,0
Prosoft International,http://www.prosoft-technology.com/,0,0
Proton Power,http://www.protonpower.com/,0,0
Pulse Therapeutics,https://www.pulsetherapeutics.com/,0,0
QD Vision,https://www.displaysupplychain.com/blog/-samsung-buys-qd-visions-ip-for-70m-and-the-future-of-quantum-dots,0,0
QUALCOMM MEMS Technologies,https://www.qualcomm.com/,0,0
QUSWAMI,https://www.corporationwiki.com/California/San-Francisco/quswami-inc/45003614.aspx,0,0
Quantapore,https://quantapore.com/,0,0
